name,byname,belonging,population,girls_population,mailaddress,twitter,homepage,"Youtube,インスタグラムなどのその他アカウント",campus,area,clubroom,festival,festival_doing,intercollegiate_group,intercollegiate_population,affiliated_schools,action_day,minimum_day,action,action_career,sponsor,need_tool,april,may,june,july,august,september,october,november,december,january,february,march,nomikai_frequency,nomikai_intensity,couple,handsome_beauty,honest,serious,past_questions,find_work,introduction
ホワイトベアアイスホッケークラブ,ベア、ホワイトベア,体育会所属団体,35,7,whitebearkeio@gmail.com,@keiowhitebear,https://keiowhitebear1933.wixsite.com/keiowhitebear,https://instagram.com/keiowhitebear?r=nametag,特に指定なし,シチズンプラザ(高田馬場)、ダイドードリンコアイスアリーナ(東伏見)、,,参加しなかった。,,,,,週2-3、水曜と土日のどちらか,全参加,リーグ戦・早慶戦の優勝に向けた、アイスホッケーの練習,,,スケート靴、防具等(貸出あり),新歓ホッケー会、新人戦,決起会,春季リーグ予選、部員総会,春季リーグトーナメント戦、早慶戦,オフ,夏合宿,秋季リーグ予選,秋季リーグ予選,秋季リーグトーナメント戦,早慶戦(4年生引退試合),オフ,春合宿、納会、追いコン,なし～年1回,普通,少なめ,全員,真面目,アマチュア,まあ出回る,体育会所属である。OBや先輩後輩同士との縦の繋がりが強い。誰でも主体性を持てるのでアピールポイントに繋がる。,"私たちは週２〜３回の練習に加え、年２回の合宿を行い、リーグ戦や早慶戦での優勝を目指しています。現部員の７割がアイスホッケー未経験者です。初めは滑ることすらままならなかった人も、１年後には氷上で活躍することができます。経験者は即戦力となれる環境です！経験者も未経験者も、どのレベルの人にも、手厚いサポートと充実した日々をお約束します。マネージャーも募集中です！学年、男女を問わず、目標に向かって共に熱くなれる仲間をお待ちしています。
 深夜練だからこそ、練習外の時間の使い方は自由です。スポーツ、勉強、娯楽、全てを楽しみたい方は、ぜひ気軽に説明会や練習見学にお越しください。最後の学生生活を、充実したものにしましょう！"
體育會重量挙部,,体育会,36,3,agebu.manager@gmail.com,@keioWL2019,https://keiowl.wixsite.com/agebu/contact,https://www.instagram.com/keio_weightlifting/,日吉,協生館地下二階→記念館,協生館地下二階→記念館,参加しなかった。,,,,,平日3~4回+土曜日,平日3~4回+土曜日,インカレ入賞・一部リーグ昇格・早慶戦の勝利を目標として、日々練習に励んでいます。,第65回(2019年度)全日本大学対抗ウェイトリフティング選手権大会 5位入賞,,ウエイトリフティングシューズ(貸出有り),,横浜市民体育大会ウェイトリフティング選手権,東日本大学対抗ウエイトリフティング選手権大会、国体予選,,夏合宿,東日本学生ウエイトリフティング個人選手権大会,慶早戦,全日本大学対抗ウェイトリフティング選手権大会,全日本学生ウェイトリフティング新人選手権大会、神奈川選手権大会,,,総会・卒業生送別会、六大学記録会,なし～年1回,普通,いない,普通,かなり真面目,アマチュア,まあ出回る,OBやコーチが真摯に就活の相談に乗ってくださります。,"重量挙部は大学から競技を始めた部員が大半であり、未経験者が大会に出場し活躍できる数少ない體育會です。練習日は平日3~4回（選択制）と土曜の全体練習であり、インカレ入賞・一部リーグ昇格・早慶戦の勝利を目標として、日々練習に励んでいます。昨年度のインカレでは5位入賞という好成績を収めました！平日練習は選択制のため、勉強やアルバイトと両立しながら部活に打ち込むことができます。
 選手をサポートするマネージャーも募集中です。動画撮影・記録管理・大会運営が主な仕事です、「目標達成に向けて共に頑張っていきたい！」という方をお待ちしています！
 また、女子選手も大募集しています！我が部の女子選手は大学から競技を始め、インカレで入賞するなど大活躍しています！
 重量挙げは努力次第で全員に活躍のチャンスがあります。競技歴・学年・男女問わず、目標に向かって共に戦う仲間を待っています！ぜひ一度説明会、体験会にお越しください！"
慶應義塾体育会相撲部,慶應相撲部,体育会,5,0,info@keio-sumo.jp,@keiosumo3,http://www.keio-sumo.jp/,,三田,三田綱町道場,,参加しなかった。,,,,塾高・志木高,週4（火・木・土・日）,原則全参加（授業と被った場合授業優先可）,大会に向けた稽古,東日本学生相撲選手権大会Aクラス8位、東日本学生相撲リーグ戦Bクラス優勝 など,,稽古体験の際は短パンと必要であればタオル（貸出可）をお持ちください。,新歓,東日本学生相撲新人選手権大会,東日本学生相撲選手権大会,東日本学生相撲個人体重別選手権大会,夏合宿,全国学生相撲個人体重別選手権大会,東日本学生相撲リーグ戦,全国学生相撲選手権大会（インカレ）,,,,卒業生追い出し稽古,週1回,普通,いない,普通,真面目,セミプロ,出回ったのを見たことがある。,,"我々相撲部は週4日、三田にある綱町道場で稽古をしています。稽古は約2時間ほどでメリハリある稽古をするので、大学生活で体育会以外にも何かに取り組む時間を確保しやすい部活です。
 また、部員の中には大学で相撲を始めた初心者もおり、相撲未経験でも心配無用です！
 さらに、相撲は体が大きい人がやるというイメージがあるかもしれませんが、学生相撲には体重別の大会もあり小柄でも活躍できる場があるため体格も不問です！
 部員同士の仲も良く、大学生活で4年間打ち込める何かを探している方にとって最適な部活です！
 見学からでも構いませんので興味のある方は是非ぜひ一度ご連絡ください！"
慶應義塾體育會合氣道部,,体育会,23,6,aikido.keio@gmail.com,@keioaiki,https://www.keio-aikido.com,,日吉,慶應義塾體育會合氣道部蝮谷道場,同上,参加した,演武会を行いました,,,早稲田大学、東京大学、明治大学、東京工業大学、日本大学など,週6,基本的には全参加,合氣道の稽古,全日本大会 個人1.2.3.4位入賞 団体の部1位,,道着だけ(しかも貸出あり)!,お花見、新歓オリエンテーション,新入生歓迎会、部内新人戦,前期納会,試験前オフ,夜行軍、夏季合宿,全日本大会,慶早戦,三田祭演武,後期納会、早慶明合同稽古、忘年会,年度納会、試験前オフ,春合宿,AII keio 、20大学合同稽古、テニス大会,半期に1回～月1回,控え目,少なめ,普通,かなり真面目,プロ,出回ったのを見たことがある。,部OB・OGを訪問して話を聞くことができる,合氣道というのは、相手を導く武道です。うまく導くためには、技が正確であるだけでなく相手の心を把握する必要があります。私達と一緒に心と体を鍛える武道をやってみませんか？
慶應義塾體育會バドミントン部,,体育会,19,6,なし,@keio_bad,https://keiobad.com/,インスタグラム @keio_badminton,日吉,日吉キャンパス記念館.蝮谷体育館.会堂,日吉キャンパス記念館横,参加しなかった。,,,,,週6回(月or火オフ),授業等が無ければ基本的に全参加,体育館での練習、外でのトレーニング等,関東学生リーグ男子4部女子3部所属、個人インカレ出場有り,,ラケット、ウェア、シューズ、他適宜活動に必要なもの,春季リーグ戦,春季リーグ戦,関東学生バドミントン選手権大会,合宿,東日本大会,東日本大会、秋季リーグ戦,インカレ、早慶戦,,,,,新人戦、合宿,半期に1回～月1回,控え目,少なめ,全員,かなり真面目,プロ,出回ったのを見たことがある。,OB•OGの方とのつながりが強い,バドミントン強くなりたい方、大歓迎です！初心者も歓迎です！
體育會所属準體育會アメリカンフットボール部ダックス,慶應ダックス,体育会,50,10,なし,@2020_ducks,https://keioducks.wixsite.com/keioducks,Instagram: @keioducks YouTube: KEIO DUCKS,特に指定なし,新横浜、川崎、下高井戸等の人工芝グラウンド、多摩川グラウンド,食堂棟3階に占有スペースあり,参加しなかった。,,,,早稲田大学、明治大学、東洋大学、日本大学等,週3〜4,基本全参加（応相談）,春期: 他チームとの合同練習、対外試合 秋期: リーグ戦、関東選手権,,,アメフト用防具、やる気,新歓、練習試合,早慶戦、練習試合,1年生週間、JVメージ,社会人リーグとのオールスターゲーム、シーズンオフ、夏納会,シーズンイン、夏合宿,リーグ戦開幕,リーグ戦,リーグ戦,リーグ戦、関東選手権,シーズンオフ、冬納会、退部式,シーズンイン、春合宿,合同練習、対外試合,半期に1回～月1回,普通,普通,多め,真面目,セミプロ,めちゃ強い,アメフトというスポーツの特質上、根気よく体力もあると見られる。また、56年続く歴史あるクラブのため、OBも様々な業界で活躍している。先輩方の華々しい就職先を是非聞きに来てください！,我々ダックスは、アメフトにおいては體育會、それ以外はサークルという姿勢で日々練習に励みつつ楽しむところは楽しんでいます。準體育會という性質上、體育會と比べられがちですが、練習日数が3〜4日のため、アルバイトや資格勉強など自分のやりたいことに時間を費やすことができます。また留学を許容していることも大きな特徴です！スポーツに本気で取り組みながらも、大学生活を充実させたい！という人は是非ダックスへ！
Head Quarter Simulation Game Club,HQ,独立団体,25,0,なし,@keioHQ,,,日吉,塾生会館309号室,塾生会館309号室,参加した,ボードゲームの体験会を開きました,,,,平日はほぼ毎日,なし,ボードゲームであそんでいます。,ゲームマーケットに出展しました,,,,,,,,,,,,,,,半期に1回～月1回,控え目,いない,いない,普通,遊び,出回ったのを見たことがある。,,"部員同士で集まってボードゲームで遊ぶことを基本的な活動内容としています。
 最近では自分たちで作ったボードゲームを販売したりもしていますので興味ある方はぜひ来てみてください。"
モダンジャズソサエティー,日吉ジャズ研,文化団体連盟,30,4,なし,@keiomodernjazz,,,日吉,日吉キャンパス塾生会館地下1階音楽練習室4,223,参加した,ジャズの生演奏,,,,週1、木曜,なし,ジャムセッション,,,インプロヴィゼーション、少しのデタラメと冒険心,,新入生ライブ,,,停車場の甲子園,合宿、定期演奏会,,三田祭出演,,,,春合宿、定期演奏会,半期に1回～月1回,控え目,少なめ,全員,かなり真面目,プロ,出回ったのを見たことがある。,むしろ留年します,現役部員の中には、定期的にお店でライブ活動をしている人もいます。先輩たちでプロとして活躍なさっている方が多くいます。留年している方も多く、そのような人に限って演奏はうまいです。オリジナルの演奏も盛んで、積極的に作曲した曲を売り込んで演奏することも可能です。ビッグバンドと違い上下関係は皆無に等しく、実力勝負の世界です。生意気でも上手ければ何も言われません。ビッグバンドと違い、先輩とのコネや他大学との繋がりも自分で行動しない限りは増えません。しかし自分の行動と実力で地域や世代を超えて人と繋がれます。
アカペラサークルWALKMEN,WALKMEN(ウォークメン),独立団体,183,93,walkmen.keio@gmail.com,@Keio_walkmen,,YouTubeチャンネル:慶應義塾大学アカペラサークルWALKMEN,日吉,32番教室、33番教室,,参加した,メインステージ・ミニステージでのアカペラ演奏、1日通しての教室でのアカペラ演奏、東京タワー企画への参加、模擬店でのチュロス販売,,,,毎週木曜日,特になし,年二回開催するサークルライブに向けた全体曲の練習,大規模アカペライベント50Fesの全体曲部門で二回連続優勝,,歌を好きな気持ちと自分の身ひとつ,新歓オリエンテーション,新入生発表会,スタバン,全体曲練習,夏合宿,秋サークルライブ,スタバン,三田祭,全体曲練習,全体曲練習,冬合宿,春サークルライブ,半期に1回～月1回,普通,普通,普通,真面目,アマチュア,出回ったのを見たことがある。,,WALKMENは公認アカペラサークルです。アカペラは全ての音を人の声によって作り上げる音楽です。歌が好きな気持ちさえあれば誰でもできるのが魅力です！もちろん初心者大歓迎！私たちと一緒に自分の声の力で音楽を作ってみませんか？歌が大好きな新入生諸君の加入を私たちWALKMEN員一同楽しみにしています😊
楽曲制作会KMM,KMM,文化団体連盟,34,4,kmmmail@gmail.com,@kmm_dtm,,音楽配信サイト soundcloud https://soundcloud.com/user-536058587,日吉,日吉キャンパス第4校舎A棟,,参加した,屋台でポテト販売,,,,週一回 土曜日,特になし,定期会合(交流、楽曲制作の情報共有)、サークル内コンピレーションアルバムの制作,,,PC,新歓オリエンテーション,,,,夏コミ(CD販売),夏合宿(3泊4日),秋M3(CD販売),三田祭,冬コミ(CD販売),,春合宿(3泊4日),春M3(CD販売),半期に1回～月1回,飲まない,いない,普通,真面目,アマチュア,全くない,,KMMはPCを使って音楽を作る「DTM」のサークルです。毎週末の会合ではそれぞれが曲制作を進めたりアドバイスし合ったり音で遊んだりしています。それぞれ好きなジャンルが違い、DTM歴などもばらばらなので教わることはとても多いです！ 自分の作品やサークルメンバーとの合作をアルバムとして即売会などに出すことができ、外へ向けての活動も活発なサークルです。
学生団体S.A.L.,SAL、サル,その他公認団体,120,60,なし,@sal_keio,https://www.salkeio.com/,Instagram sal_keio,"日吉, SFC",日吉、新宿や秋葉原などのフリースペース、SFC、三田,,参加しなかった。,,,,,隔週日吉にて全体会議、そのほか週1で日吉とSFCそれぞれキャンパス会議、その他プロジェクトごとの活動あり,基本的に全参加(プロジェクトによる),スタディーツアー、フリーマガジン制作、ドキュメンタリー撮影、ワークショップの開催など,長期休みのたびにスタディーツアーを実施、SFFや学生団体総選挙にて多数の賞を受賞、年に複数のイベント開催(写真展、自作のドキュメンタリー放映など),多々あり(具体的な名前は控えさせていただきます),PCは基本的に必須,新歓活動、新歓BBQ,新歓合宿、新歓ピクニック,,,スタディーツアー,スタディーツアー,,,引退式,,スタディーツアー,追いコン、スタディーツアー,半期に1回～月1回,普通,普通,多め,真面目,セミプロ,まあ出回る,幅広い経験、知識、スキルを身につけられます。就活で使えることは多いです。,"学生団体 S.A.L. は国際問題の知識を深め、啓発することを活動内容として 2008年に発足した、慶應義塾大学に本部を置く学生団体です。
 ​
 S.A.L. という名前には、
 Send out( 国際問題を伝える )
 Aid( 助けを求めている人を救う )
 Learn( 世界の現実を知る、学ぶ )
 という 3 つの意味が込められています。
 ​
 私たちはこの3つをコンセプトに、スタディー・ツアーを企画し、長期休暇を利用して海外へ赴きます。そこで、国際問題の現実と向き合い、メンバー全員が自分たちに出来ることは何かを考えながら 、国内でイベントやフリーマガジン、ドキュメンタリー、商品プロデュース、web デザインなどの具体的なプロジェクトを行っています。この「伝える」という活動によって、Aid（救う）につながる、と我々は考えています。
 人は往往にして、知りもしないことを決めつけてしまったり、物事を知っていると思い込んでしまいます。それが、国際問題の本当の「問題」ではないでしょうか。この国はこうである、あの国の人々はこんな人々である、今の世の中はこうである。人々がそのように決めつけたり、思い込んでいる限り、国際問題の理解は進みません。助けが必要とされる状況に変化も起きません。そこで、我々は「伝える」ということが非常に重要な役割を果たすと考えているのです。
 国際問題に関心のない人や少し興味がある人に、国際問題を知ってもらう「きっかけ」づくりを重視し、S.A.L. は活動を行っています。"
ウインドアンサンブル,ウインド KWE,文化団体連盟,85,50,w1ndwebadm1n@gmail.com,@K_W_E_,http://keiowind.com/,なし,日吉,日吉塾生会館,201,参加しなかった。,,,,なし,木、日の合奏に加えパートごとに2日練習 計4日,様々な事情は考慮されるができるだけ練習には参加してほしい。,塾生会館での定期演奏会へ向けた練習,年に2回の定期演奏会、過去にはドラマ音源の録音や委嘱作品の初演も行った,なし,パートによっては自持ち楽器を求める場合あり,新歓合宿,ピクニック,春の定期演奏会,オフ期間,夏合宿、パート旅行、学年旅行,初見大会,冬の定期演奏会に向けた練習,4年が主催のイベント,冬の定期演奏会,オフ期間,追い出しコンサート スキー合宿,春合宿,2週間に1回,普通,普通,普通,真面目,アマチュア,まあ出回る,全学部のサークルなので多様な情報が得られる,"慶應義塾大学文化連盟公認団体である当楽団は、6 月・12 月に行う定期演奏会、春・夏休みに行う合宿を中心に活動しています。 
 その他にも、自由参加のイベントとして、ウインド音楽祭、スキー旅行、各学年 やパートごとの旅行、早慶戦観戦などを行っています。"
環境サークル E.C.O.,環境サークル E.C.O.,文化団体連盟,5,0,なし,Keioeco,,,三田,不特定,三田キャンパス,参加した,落とし物バザー,,,,年数回,なし,三田祭における、学生部から引き受けた落とし物の販売,なし,,,,,,,,,,落とし物バザー,,,,,なし～年1回,普通,いない,いない,かなり真面目,同好会,まあ出回る,昔は巨大サークルでしたので、OB会では有名企業の方とお話ができます。,年数回、大学と連携した環境活動を行うサークルです。連合三田会ではごみ分別指導、三田祭では落とし物のバザーを行います。現在の部員は5人。映画好き、鉄道好き、アニメ好きなど、絶賛オタクばっかのサークルになってしまっています。
慶應スパイラルスケートクラブ アイスホッケー部門,スパイラル,独立団体,15,5,なし,@KEIOSPIRAL,,@keiospiral.icehockey,特に指定なし,明治神宮外苑アイススケート場,,参加しなかった。,,,,,原則毎週水曜日、試合の日程によって多少変わります。,全参加,アイスホッケー,,,防具,新入生歓迎会,,,,,夏合宿、リーグ戦開始,,,,,,追いコン,半期に1回～月1回,普通,普通,少な目,真面目,同好会,出回ったのを見たことがある。,競技人口が比較的少ないスポーツであるため、珍しさもあって話盛り上がれるかも！,スパイラルは楽しくアイスホッケーをするサークルです！経験者・初心者問いません！学年も問いません！人数が少ないからこそすぐに馴染めて、試合にもたくさん出場できます。たくさんの方をお待ちしております:)
ガールズ＆パンツァー同好会,慶應ガルパン同好会、ガルパン同好会,未公認団体（学生団体組織届提出済み）,5,0,keio_garupan@yahoo.co.jp,@keio_garupan,,,日吉,日吉の空き教室、茨城県東茨城郡大洗町,,参加しなかった。,,,,,不定期,特になし,上映会、大洗旅行、コミケの話し合いなど,いす-1GP 2019茨城大洗大会27位,,,新歓,コミケ,,,,大洗旅行（ダージリン生誕祭）,,大洗旅行（商工感謝祭、あんこう祭）,コミケ,,,大洗旅行（海楽フェスタ）,なし～年1回,飲まない,いない,いない,かなり真面目,同好会,全くない,,"日本で唯一のガールズ＆パンツァー同好会が、なんと慶應にあります。
 当団体が組織されたのは2019年6月で、まだ日も浅いですが、大洗旅行を中心として精力的に活動しています。
 部員人数が少ない分、みんな仲が良いです。
 友達と行く聖地・大洗はとっても楽しいですよ。
 ガルパンは好きだけど大洗にはまだ行ったことない人、僕たちと一緒に大洗へ遊びに行きませんか？
 「ガルパンは劇場版しか見てない」って人や、「ガルパンは好きだけどそこまでガチってるわけでもない」って人でも大歓迎です！
 上映会も行っているので、入ってからでも更にハマれるチャンスはたくさんあります。
 サークルの性質上オタクや陰キャも大歓迎！
 気になることがある方は、メールやTwitterのDMで遠慮なく質問してください。"
慶應義塾大学お笑い道場o-keis,オーケイズ,その他公認団体,63,22,keiokeis@gmail.com,@o_keis,https://o-keis.net,,日吉,日吉教室,日吉キャンパス塾生会館324,参加した,お笑いライブ(3日間、全9公演),,,,週1回(月曜日),特になし,週1回のミーティングでのネタ見せ、各種お笑いライブ出演、学生お笑いの大会出場、企業からの依頼による公演、合宿(年2回),大学芸会2019優勝、学生M-1グランプリ2019優勝など,,,新歓合宿,新入生によるデビューライブ,ユニットバトル,七夕祭出演,大学芸会(個人戦),夏合宿,矢上祭出演,三田祭出演,紅白大喜利合戦,,NOROSHI(団体戦),春合宿、卒業ライブ,週1回,飲まない,少なめ,多め,かなり真面目,セミプロ,まあ出回る,人前で堂々と話せる能力がつきます。,みんな面白いし、みんなこのサークルを愛しています。
ライチウス会,ライチ,文化団体連盟,79,48,なし(TwitterのDMで連絡),@keio_raittius17,http://raittius.com/,なし,日吉,人による,211号室,参加した,屋台で焼きそばを販売し、第一校舎では室内喫茶を運営しました。また、東京育成園の子供たちを数人招待して三田祭を楽しんでもらいました。,,,,週1,週1,週に一度、障がい者施設、児童養護施設等の各施設に通い、勉強会を行なっています。この基本的な活動の他にも、福祉作業所でのお手伝い、児童養護施設の子ども達との触れ合い(各イベントへの参加)、障がいをもった方の外出の介助など、様々なボランティア活動を行っています。,今年で90周年を迎えます。,,,9日&15日：食事会 22日：新歓パーティー 下旬以降：各施設の見学会 下旬：至誠学園ガーデンパーティー,4月下旬〜5月上旬：施設見学会,第一回総会,,サマーキャンプ、あさひワークキャンプ、夏合宿,友愛園合同運動会,第二回総会,三田祭,勉強会、第三回総会,,冬合宿,追いコン,半期に1回～月1回,控え目,少なめ,普通,真面目,セミプロ,まあ出回る,OBOGの方がたくさんいらっしゃるので、お話しできる機会も多く、就職に関するアドバイスをいただけることもあります。,私たちライチウス会は、創部90年を誇る伝統あるボランティアサークルです。様々なボランティア活動を経験することができ、このような経験を通じて、大学の授業では得られない見聞を広めるこ とができると思います。また、アットホームな雰囲気で、先輩方はとても優しく、飲み会でお酒を強要されるようなこともありませんし、学年の壁を越えてカラオケや食事に行くこともよくあり、部員同士の交流も盛んです。ライチウス会の活動が、自分自身の勉強になることはもちろん、これらの活動を通してたくさんの友達、先輩ができるので一石二鳥です!! ぜひ気軽に入部してくださいね♪
津軽三味線集団 弦音巴,弦音巴/おとは,独立団体,41,29,otoha.keio@gmail.com,@keio_otoha,https://otohakeio.wixsite.com/keiootoha,YouTube: bit.ly/2X80oih / Instagram: bit.ly/2BWjD6i,日吉,日吉キャンパス/綱島地区センター,301号室@日吉キャンパス塾生会館,参加した,メインステージ・ミニステージ・演舞場での演奏,,,,週2日(火曜・木曜),特になし,演奏依頼・大会に向けての練習,"第37回津軽三味線世界大会 団体戦A準優勝
 第3回津軽三味線全国大会 in倉敷 独奏曲部門準優勝
 第48回滋賀県芸術祭参加・災害復興支援事業 第6回全国大会 独奏曲部門準優勝
 
 大会の他にも依頼を頂き、月に複数回、外部で演奏しています。",,津軽三味線(レンタル制度あり),新歓演奏,津軽三味線世界大会@弘前 /新歓BBQ,慶早戦演奏or観戦,七夕祭@SFC,夏合宿/内輪演奏会,単独公演,秋祭@SFC,三田祭,忘年会/クリスマスプレゼント交換,新年会・大会練,津軽三味線コンクール@大阪,追いコン・スキー合宿,半期に1回～月1回,控え目,多め,普通,普通,アマチュア,出回ったのを見たことがある。,津軽三味線が珍しい楽器なこともあり、話のつかみにつかえます。面接官の方の興味を引きやすいです👀,"大学で新しいこと、はじめませんか？
 津軽三味線集団 弦音巴（おとは）は、2015年に設立された公認団体です。全国大会・世界大会の合奏部門で準優勝を果たした、実力派サークルです！
 現在総勢41名のメンバーで、ロックな現代曲から伝統的な民謡まで幅広く練習し、三田祭などの学園祭を始め、演奏依頼を頂いて様々な施設やイベント（ホテル、ディズニー、高齢者施設等）で演奏活動をしています。演奏以外にも、夏合宿や慶早戦観戦など年中イベントが多く、サークルならではのアットホームな雰囲気があります。
 実は、ほぼ全員のメンバーが大学から津軽三味線を始めています。初心者の方でも、音楽経験がなくても、全く問題ありません！
 慶應に入学した際には、ぜひ一度見学にお越しください。"
フットサル倶楽部エルレイナ,慶應エルレイナ,独立団体,30,2,keioelreina@gmail.com,@keioelreina,,,日吉,横浜市内の体育館、目黒区内の体育館、港北小学校,,参加しなかった。,,,,,月曜日19:00~21:00 水曜日 9:00~12:00（抽選次第） 木曜日19:00~21:00 金曜日 19:00~21:00（抽選次第） 土曜日・日曜日どちらか試合。,基本全参加ですが融通は効きます！欠席の場合連絡してください！,関東大学フットサルリーグにサークル団体として唯一参戦している競技志向フットサルチームです！,2019年度神奈川県大学フットサルリーグ優勝,,,新歓練習、新入生歓迎焼肉,全日本大学フットサル大会神奈川県予選,,全日本大学フットサル大会関東予選、関東大学フットサルリーグ開幕,全日本大学フットサル大会本選,,,,,,関東大学フットサルリーグ閉幕,,半期に1回～月1回,普通,いない,普通,かなり真面目,アマチュア,まあ出回る,,慶應義塾大学唯一の競技志向フットサルチームです！他大学の体育会チームを相手に勝利するため日々活動しています。体育会に比べ活動頻度は少なく、出席も融通が効くため兼サーや資格試験との両立も可能です！
慶應サイクル部,KCC,文化団体連盟,137,30,keiocyclingclub.kcc@gmail.com,@OpenKcc,,インスタグラム keio_ cycling_club,日吉,塾生会館210教室、日本各地,塾生会館210教室,参加しなかった。,,,,東京大学や早稲田大学とは合同でランを行ったりすることもあります。,日曜日,特になし、自由参加です。,日曜日に関東近郊へ観光を兼ねてランへ行ったりレースに出たりしています。平日は部室で和気藹々と仲良くやっています。長期休みや三田祭期間には合宿を組み全国各地へ行きます。,今年で119年目です,オーストリッチ様には部品を安く提供していただくなど協力していただいています。,自転車(新歓期は貸し出し用の自転車を用意しています),新歓ラン,新歓合宿、新歓ラン,各種ラン、早慶ランなど,各種ラン,夏合宿、各種ラン,各種ラン、耐久ランなど,各種ラン、ロッジランなど,三田合宿、各種ラン、もてぎエンデューロなど,納会、各種ラン,各種ラン、日の出ランなど,各種ラン,春合宿、各種ラン,半期に1回～月1回,普通,普通,普通,普通,遊び,めちゃ強い,ないです,"こんにちは！
 慶應サイクル部(KCC)です😄
 部とついていますが体育会ではなく公認サークルです
 自転車🚴‍♂️に乗りながら観光🏖に行ったりレース🏁に出たりするサークルです
 日曜日にみんなで自転車🚴‍♂️に乗り平日は部室でワイワイやっています〜
 長期休みや三田祭期間には合宿を組み全国へ行きます！
 少しでも気になる方は新歓期に毎週行なっている新歓ラン🚴‍♂️に参加して、自転車の魅力を肌で感じでくれると嬉しいです😄"
律法会,律法,文化団体連盟,450,225,なし,@rippou5556,,Instagram @rippou5556,"日吉, 三田",J14教室,306号室,参加しなかった。,,,,早稲田大学,平日毎日 休日不定期,特になし,例会･ゼミでの勉強･交流,"第68回末川杯争奪法律討論会 優勝
 同討論会質問の部 第2位",,,オリエンテーション はじコン 例会･ゼミ開始,GW企画 慶早戦 前期総会,裁判所見学 早稲田大学交流会,例会打ち上げ,試験打ち上げ,夏合宿,役職選挙 後期総会,秋合宿 秋例会･ゼミ開始,クリスマスパーティー 忘年会,,試験打ち上げ 追いコン 春企画,春企画,半期に1回～月1回,普通,少なめ,全員,普通,遊び,めちゃ強い,"２月に座談会というイベントがあり、内定が決まった先輩方にお話をうかがうことができます。
 また、規模の大きいサークルですのでOBの方もたくさんいらっしゃり、お会いする機会もあります。","こんにちは！律法会です！
 我々のアピールポイントは二つあります。
 一つ目は、会員の多さです。
 律法会は比較的入サー費も安く、参加ペースも自由なので多数の会員がおり、交友関係をかなり広げることができるのではないかと思います。
 
 二つ目は活動にメリハリがあることです。
 律法会の活動は勉強系のものと遊び系のものに分かれていますが、どの会員も勉強するときは真剣に取り組み、遊ぶときは全力で楽しんでいます。"
慶應SF研究会,SF研,文化団体連盟,7,1,なし,@keio_sf,,,日吉,部室,塾生会館321号室,参加した,部誌販売,,,,週1,特になし,読書会等,,,,,,,,,,,,,,,,半期に1回～月1回,飲まない,いない,少な目,普通,アマチュア,出回ったのを見たことがある。,,SFについて研究するサークルです。
津軽三味線集団 弦音巴,おとは,独立団体,42,29,otoha.keio@gmail.com,@keio_otoha,https://otohakeio.wixsite.com/keiootoha,YouTube 津軽三味線集団弦音巴 インスタ@keio_otoha_tokyo,日吉,日吉キャンパス４号館の教室,301,参加した,メインステージ出演,,,,毎週火曜木曜,自由,三味線の練習、演奏依頼や大会の合わせ,第37回津軽三味線世界大会団体戦A準優勝,,津軽三味線(レンタル有り)、モチベ、バイブス,新歓,世界大会,慶早戦観戦,七夕祭出演,夏合宿、花火,単独公演,通常練習,三田祭メインステージ出演,クリスマスパーティー,通常練習,大会練習.USJ,大会練習,半期に1回～月1回,控え目,普通,普通,真面目,アマチュア,出回ったのを見たことがある。,,"こんにちは！津軽三味線集団弦音巴(おとは)です！！
 
 津軽三味線って地味だと思っていませんか？
 いえいえ、鋭く重い、深みと迫力のある音を奏でるカッコいい楽器です‼️ 
 民謡は勿論、ロックな現代曲も弾けますよ👍
 
 大学で新しいことをやりたい人、人とは違った趣味を持ちたい人に是非おすすめします！
 
 新歓Twitter→@keio_otoha2020"
英字新聞学会 三田キャムパス,ミタキャム,独立団体,44,22,mitacam.m@gmail.com,@MitaCampus,http://mitacampus.com/,Twitter新歓→@MitaCampus2020 Instagram→https://www.instagram.com/mitacampus/?hl=ja,日吉,日吉キャンパス4号館、部室,塾生会館322号室,参加しなかった。,,,,,週1,特にないですが、なるべく参加していただきたいです。,記事作成、取材、ディスカッション,,,活動へのやる気,新歓,総会 、イベント,合宿,,タブロイド紙発行,,秋新歓,三田祭,納会,,冬合宿,タブロイド紙発行、追いコン,2週間に1回,普通,少なめ,全員,普通,プロ,めちゃ強い,活動自体を自分の強みにできます。また社会で実際に活躍しているOBGとのつながりが強く、お話を伺う機会が多くあります。,1946年に設立された塾内唯一の英字新聞サークルです。「日本の学生の視点から世界に向けて意見、情報を発信する」というコンセプトのもと、学内だけに留まらず、自らの関心に基づき 学外にも目を向けた記事を作成しています。なかなか行く機会のないような機関や施設にも、ミタキャムパスだからこそ取材することができるのが魅力です。また、ディスカッションでは社会のさまざまな事柄についての理解を深め、記事にすることで自分の意見のアウトプットをしっかりすることができます。記事は公式HPや、年2回発行しているタブロイド紙からお読みいただけます。まずは見学からでも大歓迎！皆さんの入部をお待ちしています。
